dataset,split_variant,model,training,checkpoint,eval_split,attack,precision,recall,mAP50,mAP50-95
NSLSR,official (leaky),nano,standard,best,test,clean,0.9854,0.9741,0.993,0.7691
NSLSR,official (leaky),nano,standard,best,test,pgd20,0.0003,0.0144,0,0
NSLSR,official (leaky),nano,standard,last,test,clean,0.9855,0.9711,0.9931,0.7714
NSLSR,official (leaky),nano,standard,last,test,pgd20,0.0004,0.0253,0,0
NSLSR,official (leaky),nano,adversarial,best,test,clean,0.9819,0.9675,0.9834,0.7572
NSLSR,official (leaky),nano,adversarial,best,test,pgd20,0.7967,0.7639,0.8043,0.3946
NSLSR,official (leaky),nano,adversarial,last,test,clean,0.9819,0.9675,0.9834,0.7572
NSLSR,official (leaky),nano,adversarial,last,test,pgd20,0.7711,0.7798,0.8015,0.3862
NSLSR,official (leaky),small,standard,best,test,clean,0.9854,0.9771,0.9844,0.769
NSLSR,official (leaky),small,standard,best,test,pgd20,0.0001,0.0036,0,0
NSLSR,official (leaky),small,standard,last,test,clean,0.989,0.9782,0.9846,0.7703
NSLSR,official (leaky),small,standard,last,test,pgd20,0.0002,0.0217,0,0
NSLSR,official (leaky),small,adversarial,best,test,clean,0.982,0.9846,0.9942,0.7627
NSLSR,official (leaky),small,adversarial,best,test,pgd20,0.9291,0.8988,0.9308,0.5499
NSLSR,official (leaky),small,adversarial,last,test,clean,0.9854,0.9892,0.9944,0.7655
NSLSR,official (leaky),small,adversarial,last,test,pgd20,0.9411,0.8953,0.9338,0.5492
NSLSR,leakage-safe (segment),nano,standard,best,val,clean,0.7569,0.625,0.6968,0.3795
NSLSR,leakage-safe (segment),nano,standard,last,val,clean,0.8252,0.5335,0.6574,0.3646
NSLSR,leakage-safe (segment),nano,standard,best,test,clean,0.8697,0.8384,0.9311,0.6483
NSLSR,leakage-safe (segment),nano,standard,best,test,pgd20,0.0002,0.0233,0,0
NSLSR,leakage-safe (segment),nano,standard,last,test,clean,0.9591,0.8047,0.9062,0.6486
NSLSR,leakage-safe (segment),nano,standard,last,test,pgd20,0.0002,0.0186,0,0
NSLSR,leakage-safe (segment),nano,adversarial,best,val,clean,0.7864,0.5213,0.6432,0.3646
NSLSR,leakage-safe (segment),nano,adversarial,last,val,clean,0.6939,0.5518,0.575,0.3344
NSLSR,leakage-safe (segment),nano,adversarial,best,test,clean,0.8754,0.8465,0.9299,0.6225
NSLSR,leakage-safe (segment),nano,adversarial,best,test,pgd20,0.4881,0.414,0.3726,0.1285
NSLSR,leakage-safe (segment),nano,adversarial,last,test,clean,0.9463,0.8558,0.9195,0.6616
NSLSR,leakage-safe (segment),nano,adversarial,last,test,pgd20,0.6116,0.5023,0.4756,0.2248
NSLSR,leakage-safe (segment),small,standard,best,val,clean,0.7686,0.6006,0.698,0.3674
NSLSR,leakage-safe (segment),small,standard,last,val,clean,0.7932,0.4756,0.584,0.3213
NSLSR,leakage-safe (segment),small,standard,best,test,clean,0.8491,0.811,0.8979,0.6099
NSLSR,leakage-safe (segment),small,standard,best,test,pgd20,0,0,0,0
NSLSR,leakage-safe (segment),small,standard,last,test,clean,0.8792,0.9144,0.9398,0.6883
NSLSR,leakage-safe (segment),small,standard,last,test,pgd20,0.0001,0.0047,0,0
NSLSR,leakage-safe (segment),small,adversarial,best,val,clean,0.7573,0.5244,0.6124,0.3408
NSLSR,leakage-safe (segment),small,adversarial,last,val,clean,0.7269,0.5366,0.5394,0.3086
NSLSR,leakage-safe (segment),small,adversarial,best,test,clean,0.9331,0.7784,0.916,0.6169
NSLSR,leakage-safe (segment),small,adversarial,best,test,pgd20,0.3189,0.4326,0.2461,0.1068
NSLSR,leakage-safe (segment),small,adversarial,last,test,clean,0.8304,0.8605,0.8961,0.643
NSLSR,leakage-safe (segment),small,adversarial,last,test,pgd20,0.6813,0.5674,0.5022,0.243
RASMD,stratified (own),nano,standard,best,val,clean,0.8169,0.7297,0.7274,0.5126
RASMD,stratified (own),nano,standard,last,val,clean,0.8169,0.7187,0.7297,0.4986
RASMD,stratified (own),nano,standard,best,test,clean,0.8041,0.6684,0.7076,0.4618
RASMD,stratified (own),nano,standard,best,test,pgd20,0,0,0,0
RASMD,stratified (own),nano,standard,last,test,clean,0.8145,0.6727,0.7066,0.455
RASMD,stratified (own),nano,standard,last,test,pgd20,0,0,0,0
RASMD,stratified (own),nano,adversarial,best,val,clean,0.74,0.5813,0.6263,0.4433
RASMD,stratified (own),nano,adversarial,last,val,clean,0.6839,0.5769,0.6025,0.4307
RASMD,stratified (own),nano,adversarial,best,test,clean,0.7189,0.5583,0.6524,0.4132
RASMD,stratified (own),nano,adversarial,best,test,pgd20,0.3451,0.0995,0.0497,0.0168
RASMD,stratified (own),nano,adversarial,last,test,clean,0.7759,0.6388,0.6797,0.4347
RASMD,stratified (own),nano,adversarial,last,test,pgd20,0.324,0.1245,0.0638,0.0181
RASMD,stratified (own),small,standard,best,val,clean,0.8529,0.7305,0.7803,0.547
RASMD,stratified (own),small,standard,last,val,clean,0.7736,0.738,0.7306,0.5296
RASMD,stratified (own),small,standard,best,test,clean,0.8183,0.6968,0.7385,0.4705
RASMD,stratified (own),small,standard,best,test,pgd20,0,0.0002,0,0
