dataset,split_variant,model,training,checkpoint,eval_split,attack,seed,precision,recall,mAP50,mAP50-95,elapsed_s,timestamp
RASMD,stratified (own),nano,standard,best,test,clean,,0.8040639146722737,0.6683712975987725,0.7076456514126148,0.4617759484606101,27.3,2026-09-21T18:02:38
RASMD,stratified (own),nano,standard,best,test,snua_go_medium,0,0.03609003385317139,0.06338879544485167,0.010598569670378291,0.005357472465622307,185.0,2026-09-21T18:05:43
RASMD,stratified (own),nano,standard,best,test,snua_go_medium,1,0.0332795990077816,0.06283688146426342,0.012869062999132234,0.00577451054964441,183.3,2026-09-21T18:08:47
NSLSR,leakage-safe (segment),nano,standard,best,test,clean,,0.8697219464197339,0.8383717700341197,0.9311314838006097,0.648270509258704,4.3,2026-09-21T18:09:39
NSLSR,leakage-safe (segment),nano,standard,best,test,pgd20,0,0.00018323743907355152,0.023255813953488372,4.639768382762333e-06,6.400125148400169e-07,32.8,2026-09-21T18:10:11
NSLSR,leakage-safe (segment),nano,standard,best,test,pgd20,1,0.00033196857364169527,0.04186046511627907,1.5829587649013093e-05,1.7641546577944038e-06,32.4,2026-09-21T18:10:44
NSLSR,leakage-safe (segment),nano,standard,best,test,pgd20,2,0.00016621310493117916,0.013953488372093023,3.5391270153362174e-06,4.016773175061093e-07,31.8,2026-09-21T18:11:16
NSLSR,leakage-safe (segment),nano,standard,best,test,snua_go_weak,0,0.6619192575976868,0.5441860465116279,0.5644344654336082,0.2672960560339828,30.5,2026-09-21T18:11:46
RASMD,stratified (own),nano,standard,best,test,snua_go_medium,2,0.027700832602393612,0.05455877407846477,0.008599112898564465,0.00395255651466751,208.4,2026-09-21T18:12:15
NSLSR,leakage-safe (segment),nano,standard,best,test,snua_go_weak,1,0.6323756226684586,0.5255813953488372,0.5521641598707501,0.26132039327892576,30.4,2026-09-21T18:12:17
RASMD,stratified (own),nano,standard,last,test,clean,,0.8145072721045978,0.6726508547580711,0.7066467889273111,0.4549535418888029,25.3,2026-09-21T18:12:40
NSLSR,leakage-safe (segment),nano,standard,best,test,snua_go_weak,2,0.6469953863891231,0.5370665929221292,0.5581641005261001,0.25804526981493914,30.0,2026-09-21T18:12:47
NSLSR,leakage-safe (segment),nano,standard,best,test,snua_go_medium,0,0.3745915795009933,0.413953488372093,0.24861930114531214,0.09047854773086231,30.3,2026-09-21T18:13:17
NSLSR,leakage-safe (segment),nano,standard,best,test,snua_go_medium,1,0.38997453260477744,0.37209302325581395,0.23271331736742806,0.08645083460870416,30.7,2026-09-21T18:13:48
NSLSR,leakage-safe (segment),nano,standard,best,test,snua_go_medium,2,0.3771912693652139,0.39069767441860465,0.2285689534755918,0.08123249499979074,30.5,2026-09-21T18:14:18
NSLSR,leakage-safe (segment),nano,standard,best,test,snua_go_strong,0,0.2161945322655564,0.11627906976744186,0.062086852411357196,0.02336971016280782,30.2,2026-09-21T18:14:48
NSLSR,leakage-safe (segment),nano,standard,best,test,snua_go_strong,1,0.22226225878995526,0.13023255813953488,0.07015928009210795,0.027110862480253062,30.5,2026-09-21T18:15:19
NSLSR,leakage-safe (segment),nano,standard,best,test,snua_go_strong,2,0.20678981015873452,0.15348837209302327,0.06566436321686143,0.02149437694472639,30.7,2026-09-21T18:15:50
RASMD,stratified (own),nano,standard,last,test,snua_go_medium,0,0.06752015488422332,0.013973122462182838,0.007547956010330959,0.004316423712243413,219.1,2026-09-21T18:16:19
NSLSR,leakage-safe (segment),nano,standard,best,test,aria_medium,0,0.8501087620703226,0.8441362780071869,0.9228211149862464,0.6359673073064759,34.7,2026-09-21T18:16:24
NSLSR,leakage-safe (segment),nano,standard,best,test,aria_medium,1,0.8836390798741527,0.7953488372093023,0.9197935415251336,0.6346937763948963,34.7,2026-09-21T18:16:59
NSLSR,leakage-safe (segment),nano,standard,best,test,aria_medium,2,0.8633739468116656,0.8325581395348837,0.9229033090007096,0.6357963871678194,34.8,2026-09-21T18:17:34
NSLSR,leakage-safe (segment),nano,standard,best,test,aria_strong,0,0.8581814059238959,0.7953488372093023,0.8950065345683753,0.5908973960626991,34.7,2026-09-21T18:18:09
NSLSR,leakage-safe (segment),nano,standard,best,test,aria_strong,1,0.8469673773469892,0.7722642440499145,0.888527120605081,0.5972278598709797,35.3,2026-09-21T18:18:44
NSLSR,leakage-safe (segment),nano,standard,best,test,aria_strong,2,0.8617897572529651,0.783049874626757,0.8960922973501098,0.6012060513145241,35.1,2026-09-21T18:19:19
NSLSR,leakage-safe (segment),nano,standard,best,test,combined_medium,0,0.3705797699766418,0.4186046511627907,0.2567824036609915,0.08897778508372986,35.6,2026-09-21T18:19:55
RASMD,stratified (own),nano,standard,last,test,snua_go_medium,1,0.014624393863368496,0.030302001631936915,0.009147867358249063,0.005933305416688134,235.1,2026-09-21T18:20:14
NSLSR,leakage-safe (segment),nano,standard,best,test,combined_medium,1,0.3628912774645863,0.35348837209302325,0.23055393917863906,0.08354521146105269,35.5,2026-09-21T18:20:30
NSLSR,leakage-safe (segment),nano,standard,best,test,combined_medium,2,0.37349101346844427,0.4,0.2344188822396176,0.08636327591953857,35.8,2026-09-21T18:21:06
NSLSR,leakage-safe (segment),nano,standard,best,test,combined_strong,0,0.16524918693394916,0.12558139534883722,0.04933405798135898,0.019338457487630425,36.0,2026-09-21T18:21:42
NSLSR,leakage-safe (segment),nano,standard,best,test,combined_strong,1,0.24196897527888603,0.13488372093023257,0.07481740574152967,0.024337199710547985,35.8,2026-09-21T18:22:18
