checkpoint,condition,seed,precision,recall,mAP50,mAP50-95
D0_standard,clean,,0.7538404723602956,0.6255541552414502,0.6940929148305854,0.3780043298174259
D0_standard,pgd20,0,0.00036994561799415487,0.03048780487804878,1.6293139050378967e-05,2.2840818202042057e-06
D0_standard,pgd20,1,0.00036572832882876305,0.009146341463414634,8.461087760761893e-06,9.948234563396267e-07
D0_standard,pgd20,2,0.00037376191366099795,0.03048780487804878,1.4361928034606199e-05,1.6865800240327599e-06
D0_standard,snua_go_weak,0,0.6544231350617036,0.3567073170731707,0.3457862240469678,0.1452169737332613
D0_standard,snua_go_weak,1,0.6598372110048218,0.3567073170731707,0.34139105838066364,0.14693248091624617
D0_standard,snua_go_weak,2,0.6587657917214393,0.35903616832409546,0.3385531739914499,0.14207116154593744
D0_standard,snua_go_medium,0,0.563846003864432,0.27439024390243905,0.2272964842761157,0.06840376942025743
D0_standard,snua_go_medium,1,0.5614844697031713,0.27134146341463417,0.25097057475873813,0.07457888901676306
D0_standard,snua_go_medium,2,0.5561128439822148,0.2804878048780488,0.24425697618966002,0.0703335328887709
D0_standard,aria_medium,0,0.7649633453584557,0.6158536585365854,0.6936850183087004,0.36843738950060356
D0_standard,aria_medium,1,0.7414231375530346,0.6294148625884345,0.6891715698304892,0.3704102007389959
D0_standard,aria_medium,2,0.737654405476961,0.6280487804878049,0.6870386276102649,0.3652720022804337
D0_standard,combined_medium,0,0.5654997461553166,0.2774390243902439,0.23396679752638044,0.07040074330760546
D0_standard,combined_medium,1,0.5147241778058866,0.2804878048780488,0.23780758347821723,0.06711016925679565
D0_standard,combined_medium,2,0.5356148651302778,0.27134146341463417,0.238104840515875,0.06798758103699794
D1_pgd_at,clean,,0.6949251005378159,0.5486371205672249,0.5727516593912058,0.33542701060808094
D1_pgd_at,pgd20,0,0.5922421005582017,0.2774390243902439,0.2231205435825629,0.08662865398294485
D1_pgd_at,pgd20,1,0.6174400716571239,0.2804878048780488,0.2215404914050945,0.08632377693340222
D1_pgd_at,pgd20,2,0.5835259034502339,0.2774390243902439,0.21896899783423912,0.08474463801570302
D1_pgd_at,snua_go_weak,0,0.6827909751447416,0.3932926829268293,0.4067129053103453,0.20244920115222173
D1_pgd_at,snua_go_weak,1,0.6984598279951175,0.3902439024390244,0.411905477094176,0.20450968948987774
