condition,seed,precision,recall,mAP50,mAP50-95
1_clean,,0.7538404723602956,0.6255541552414502,0.6940929148305854,0.3780043298174259
2_pgd20,0,0.0005342466417119744,0.018292682926829267,1.7881096481636252e-05,2.6592552316244158e-06
2_pgd20,1,0.0003649719388891205,0.009146341463414634,9.005667553601575e-06,1.0496043980104727e-06
2_pgd20,2,0.00037387370546229485,0.03048780487804878,1.4385764103951195e-05,1.6892025180662146e-06
3_random_fpn_weak,0,0.7308066010070192,0.6219512195121951,0.6969965643958707,0.3652509461172684
3_random_fpn_weak,1,0.6952929215978004,0.6280487804878049,0.6905567018543886,0.36811327752130096
3_random_fpn_weak,2,0.7611567072215271,0.6128048780487805,0.6987078790912596,0.36481930925662776
4_snua_go_weak,0,0.6544231350617036,0.3567073170731707,0.3457862240469678,0.1452169737332613
4_snua_go_weak,1,0.6598372110048218,0.3567073170731707,0.34139105838066364,0.14693248091624617
4_snua_go_weak,2,0.6587657917214393,0.35903616832409546,0.3385531739914499,0.14207116154593744
5_random_fpn_medium,0,0.643718546187897,0.5701219512195121,0.638684667652047,0.3072805031626956
5_random_fpn_medium,1,0.6875799040035836,0.551829268292683,0.6354128485993779,0.31068777139354464
5_random_fpn_medium,2,0.6673775837722132,0.5792682926829268,0.6396853316936317,0.30956796399977204
6_snua_go_medium,0,0.5626190559471668,0.27439024390243905,0.22729574230842428,0.06840370144586388
6_snua_go_medium,1,0.5614844697031713,0.27134146341463417,0.25097057475873813,0.07457888901676306
6_snua_go_medium,2,0.5561128439822148,0.2804878048780488,0.24425697618966002,0.0703335328887709
7_random_radiometric_medium,0,0.7588896770763291,0.6333363647756639,0.6997099603388877,0.37548730232853905
7_random_radiometric_medium,1,0.7593617214981281,0.6341463414634146,0.7026365659874241,0.37938460140487873
7_random_radiometric_medium,2,0.7581797564214681,0.6310975609756098,0.6957883721886603,0.3739041904446593
8_aria_medium,0,0.7649633453584557,0.6158536585365854,0.6936850183087004,0.36843738950060356
8_aria_medium,1,0.7414231375530346,0.6294148625884345,0.6891715698304892,0.3704102007389959
8_aria_medium,2,0.737654405476961,0.6280487804878049,0.6870386276102649,0.3652720022804337
9_combined_snua_aria_medium,0,0.5654997461553166,0.2774390243902439,0.23396679752638044,0.07040074330760546
9_combined_snua_aria_medium,1,0.5147241778058866,0.2804878048780488,0.23780758347821723,0.06711014015671563
9_combined_snua_aria_medium,2,0.5356148651302778,0.27134146341463417,0.238104840515875,0.06798758103699794
