dataset,split_variant,model,training,checkpoint,eval_split,attack,n_seeds,mAP50,mAP50_std,mAP50-95,mAP50-95_std,precision,recall,selection_bias,source
NSLSR,official (leaky),nano,standard,best,test,clean,1,0.9930,,0.7691,,0.9854,0.9741,,aggregate_results_table2.csv
NSLSR,official (leaky),nano,standard,best,test,pgd20,1,0.0000,,0.0000,,0.0003,0.0144,,aggregate_results_table2.csv
NSLSR,official (leaky),nano,standard,last,test,clean,1,0.9931,,0.7714,,0.9855,0.9711,,aggregate_results_table2.csv
NSLSR,official (leaky),nano,standard,last,test,pgd20,1,0.0000,,0.0000,,0.0004,0.0253,,aggregate_results_table2.csv
NSLSR,official (leaky),nano,adversarial,best,test,clean,1,0.9834,,0.7572,,0.9819,0.9675,,aggregate_results_table2.csv
NSLSR,official (leaky),nano,adversarial,best,test,pgd20,1,0.8043,,0.3946,,0.7967,0.7639,,aggregate_results_table2.csv
NSLSR,official (leaky),nano,adversarial,last,test,clean,1,0.9834,,0.7572,,0.9819,0.9675,,aggregate_results_table2.csv
NSLSR,official (leaky),nano,adversarial,last,test,pgd20,1,0.8015,,0.3862,,0.7711,0.7798,,aggregate_results_table2.csv
NSLSR,official (leaky),small,standard,best,test,clean,1,0.9844,,0.7690,,0.9854,0.9771,,aggregate_results_table2.csv
NSLSR,official (leaky),small,standard,best,test,pgd20,1,0.0000,,0.0000,,0.0001,0.0036,,aggregate_results_table2.csv
NSLSR,official (leaky),small,standard,last,test,clean,1,0.9846,,0.7703,,0.9890,0.9782,,aggregate_results_table2.csv
NSLSR,official (leaky),small,standard,last,test,pgd20,1,0.0000,,0.0000,,0.0002,0.0217,,aggregate_results_table2.csv
NSLSR,official (leaky),small,adversarial,best,test,clean,1,0.9942,,0.7627,,0.9820,0.9846,,aggregate_results_table2.csv
NSLSR,official (leaky),small,adversarial,best,test,pgd20,1,0.9308,,0.5499,,0.9291,0.8988,,aggregate_results_table2.csv
NSLSR,official (leaky),small,adversarial,last,test,clean,1,0.9944,,0.7655,,0.9854,0.9892,,aggregate_results_table2.csv
NSLSR,official (leaky),small,adversarial,last,test,pgd20,1,0.9338,,0.5492,,0.9411,0.8953,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,standard,best,test,clean,1,0.9311,,0.6483,,0.8697,0.8384,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,standard,best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0002,0.0295,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,standard,best,test,snua_go_weak,3,0.5583,0.0061,0.2622,0.0047,0.6471,0.5356,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,standard,best,test,snua_go_medium,3,0.2366,0.0106,0.0861,0.0046,0.3806,0.3922,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,standard,best,test,aria_medium,3,0.9218,0.0018,0.6355,0.0007,0.8657,0.8240,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,standard,best,test,combined_medium,3,0.2406,0.0142,0.0863,0.0027,0.3690,0.3907,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,standard,best,test,snua_go_strong,3,0.0660,0.0040,0.0240,0.0029,0.2151,0.1333,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,best,test,aria_strong,3,0.8932,0.0041,0.5964,0.0052,0.8556,0.7836,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,best,test,combined_strong,3,0.0667,0.0151,0.0233,0.0036,0.2088,0.1380,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,best,test,random_fpn_medium,3,0.8624,0.0018,0.5321,0.0031,0.8752,0.7604,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,best,test,random_radiometric_medium,3,0.9299,0.0016,0.6459,0.0017,0.8674,0.8420,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,best,val,clean,1,0.6968,,0.3795,,0.7569,0.6250,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,standard,best,val,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0004,0.0234,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,standard,best,val,snua_go_weak,3,0.3419,0.0036,0.1447,0.0025,0.6577,0.3575,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,standard,best,val,snua_go_medium,3,0.2408,0.0122,0.0711,0.0032,0.5605,0.2754,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,standard,best,val,aria_medium,3,0.6900,0.0034,0.3680,0.0026,0.7480,0.6244,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,standard,best,val,combined_medium,3,0.2366,0.0023,0.0685,0.0017,0.5386,0.2764,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,clean,1,0.9062,,0.6486,,0.9591,0.8047,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0001,0.0047,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,snua_go_weak,3,0.4890,0.0048,0.2074,0.0042,0.5801,0.5842,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,snua_go_medium,3,0.2300,0.0140,0.0759,0.0047,0.3739,0.3612,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,aria_medium,3,0.9030,0.0015,0.6383,0.0027,0.9488,0.8149,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,combined_medium,3,0.2332,0.0132,0.0749,0.0041,0.3739,0.3706,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,snua_go_strong,3,0.0206,0.0087,0.0061,0.0012,0.1426,0.0837,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,aria_strong,3,0.8869,0.0043,0.6130,0.0004,0.9283,0.7995,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,combined_strong,3,0.0338,0.0114,0.0113,0.0034,0.1628,0.1023,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,random_fpn_medium,3,0.7891,0.0059,0.5308,0.0044,0.8463,0.7229,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,random_radiometric_medium,3,0.9067,0.0004,0.6501,0.0020,0.9694,0.8111,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,val,clean,1,0.6574,,0.3646,,0.8252,0.5335,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,adversarial,best,test,clean,1,0.9299,,0.6225,,0.8754,0.8465,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,adversarial,best,test,pgd20,1,0.3726,,0.1285,,0.4881,0.4140,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,adversarial,best,val,clean,1,0.6432,,0.3646,,0.7864,0.5213,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,adversarial,last,test,clean,1,0.9195,,0.6616,,0.9463,0.8558,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,adversarial,last,test,pgd20,1,0.4756,,0.2248,,0.6116,0.5023,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,adversarial,last,val,clean,1,0.5750,,0.3344,,0.6939,0.5518,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,clean,1,0.9299,,0.6225,,0.8754,0.8465,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,pgd20,3,0.3682,0.0044,0.1291,0.0016,0.4693,0.4445,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,snua_go_weak,3,0.8322,0.0024,0.4673,0.0009,0.9051,0.6800,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,snua_go_medium,3,0.7104,0.0080,0.3355,0.0050,0.8113,0.6124,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,aria_medium,3,0.9248,0.0003,0.6158,0.0033,0.8763,0.8432,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,combined_medium,3,0.7007,0.0057,0.3266,0.0035,0.8007,0.6078,,all_evals_results.csv
