dataset,split_variant,model,training,checkpoint,eval_split,clean,pgd20,snua_go_weak,snua_go_medium,aria_medium,combined_medium,worst_attack,worst_mAP50,clean_cost_vs_D0_same_split
NSLSR,official (leaky),nano,standard,best,test,0.9930,0.0000,,,,,pgd20,0.0000,+0.0000
NSLSR,official (leaky),nano,standard,last,test,0.9931,0.0000,,,,,pgd20,0.0000,+0.0001
NSLSR,official (leaky),nano,adversarial,best,test,0.9834,0.8043,,,,,pgd20,0.8043,-0.0096
NSLSR,official (leaky),nano,adversarial,last,test,0.9834,0.8015,,,,,pgd20,0.8015,-0.0096
NSLSR,official (leaky),small,standard,best,test,0.9844,0.0000,,,,,pgd20,0.0000,+0.0000
NSLSR,official (leaky),small,standard,last,test,0.9846,0.0000,,,,,pgd20,0.0000,+0.0002
NSLSR,official (leaky),small,adversarial,best,test,0.9942,0.9308,,,,,pgd20,0.9308,+0.0098
NSLSR,official (leaky),small,adversarial,last,test,0.9944,0.9338,,,,,pgd20,0.9338,+0.0100
NSLSR,leakage-safe (segment),nano,standard,best,val,0.6968,0.0000,0.3419,0.2408,0.6900,0.2366,pgd20,0.0000,+0.0000
NSLSR,leakage-safe (segment),nano,standard,best,test,0.9311,0.0000,0.5583,0.2366,0.9218,0.2406,pgd20,0.0000,+0.0000
NSLSR,leakage-safe (segment),nano,standard,last,val,0.6574,,,,,,,,-0.0394
NSLSR,leakage-safe (segment),nano,standard,last,test,0.9062,0.0000,0.4890,0.2300,0.9030,0.2332,pgd20,0.0000,-0.0249
NSLSR,leakage-safe (segment),nano,adversarial,best,val,0.6432,,,,,,,,-0.0536
NSLSR,leakage-safe (segment),nano,adversarial,best,test,0.9299,0.3726,,,,,pgd20,0.3726,-0.0012
NSLSR,leakage-safe (segment),nano,adversarial,last,val,0.5750,,,,,,,,-0.1218
NSLSR,leakage-safe (segment),nano,adversarial,last,test,0.9195,0.4756,,,,,pgd20,0.4756,-0.0116
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,0.9299,0.3682,0.8322,0.7104,0.9248,0.7007,pgd20,0.3682,-0.0012
NSLSR,leakage-safe (segment),nano,pgd_at,last,val,0.5728,0.2212,0.4090,0.2938,0.5700,0.2713,pgd20,0.2212,-0.1240
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,0.9195,0.4770,0.7709,0.6631,0.9163,0.6623,pgd20,0.4770,-0.0116
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,val,0.6399,0.0000,0.3562,0.2373,0.6338,0.2409,pgd20,0.0000,-0.0569
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,0.9481,0.0000,0.7328,0.4923,0.9443,0.5000,pgd20,0.0000,+0.0170
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,val,0.6581,0.0000,0.6060,0.5524,0.6490,0.5391,pgd20,0.0000,-0.0387
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,0.9424,0.0000,0.9010,0.8514,0.9374,0.8413,pgd20,0.0000,+0.0113
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,val,0.6190,0.0000,0.5693,0.5172,0.6103,0.5091,pgd20,0.0000,-0.0778
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,0.9499,0.0000,0.9187,0.8872,0.9446,0.8763,pgd20,0.0000,+0.0188
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,0.9607,0.0000,0.4902,0.2451,0.9583,0.2404,pgd20,0.0000,+0.0296
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,0.9739,0.0000,0.9543,0.9256,0.9705,0.9193,pgd20,0.0000,+0.0428
NSLSR,leakage-safe (segment),small,standard,best,val,0.6980,,,,,,,,+0.0000
NSLSR,leakage-safe (segment),small,standard,best,test,0.8979,0.0000,0.5048,0.1757,0.8925,0.1856,pgd20,0.0000,+0.0000
NSLSR,leakage-safe (segment),small,standard,last,val,0.5840,,,,,,,,-0.1140
NSLSR,leakage-safe (segment),small,standard,last,test,0.9398,0.0000,0.5387,0.3018,0.9347,0.2986,pgd20,0.0000,+0.0419
NSLSR,leakage-safe (segment),small,adversarial,best,val,0.6124,,,,,,,,-0.0856
NSLSR,leakage-safe (segment),small,adversarial,best,test,0.9160,0.2461,,,,,pgd20,0.2461,+0.0181
NSLSR,leakage-safe (segment),small,adversarial,last,val,0.5394,,,,,,,,-0.1586
NSLSR,leakage-safe (segment),small,adversarial,last,test,0.8961,0.5022,,,,,pgd20,0.5022,-0.0018
NSLSR,leakage-safe (segment),small,pgd_at,best,test,0.9160,0.2583,0.8353,0.7148,0.9100,0.7096,pgd20,0.2583,+0.0181
NSLSR,leakage-safe (segment),small,pgd_at,last,test,0.8961,0.5114,0.8264,0.7325,0.8926,0.7275,pgd20,0.5114,-0.0018
NSLSR,leakage-safe (segment),small,random_swir_aug,robust_best,test,0.9286,0.0000,0.7080,0.5490,0.9254,0.5474,pgd20,0.0000,+0.0307
NSLSR,leakage-safe (segment),small,snua_at,robust_best,test,0.9125,0.0000,0.8552,0.7780,0.9048,0.7676,pgd20,0.0000,+0.0146
NSLSR,leakage-safe (segment),small,mixed_swir_at,robust_best,test,0.9535,0.0000,0.9219,0.8896,0.9498,0.8834,pgd20,0.0000,+0.0556
RASMD,stratified (own),nano,standard,best,val,0.7274,,,,,,,,+0.0000
RASMD,stratified (own),nano,standard,best,test,0.7076,0.0000,0.0769,0.0107,0.7058,0.0079,pgd20,0.0000,+0.0000
RASMD,stratified (own),nano,standard,last,val,0.7297,,,,,,,,+0.0023
RASMD,stratified (own),nano,standard,last,test,0.7066,0.0000,0.0776,0.0074,0.7028,0.0057,pgd20,0.0000,-0.0010
RASMD,stratified (own),nano,adversarial,best,val,0.6263,,,,,,,,-0.1011
RASMD,stratified (own),nano,adversarial,best,test,0.6524,0.0497,,,,,pgd20,0.0497,-0.0552
RASMD,stratified (own),nano,adversarial,last,val,0.6025,,,,,,,,-0.1249
RASMD,stratified (own),nano,adversarial,last,test,0.6797,0.0638,,,,,pgd20,0.0638,-0.0279
RASMD,stratified (own),nano,pgd_at,best,test,0.6524,0.0500,0.1678,0.0587,0.6461,0.0561,pgd20,0.0500,-0.0552
RASMD,stratified (own),nano,pgd_at,last,test,0.6797,0.0652,0.1639,0.0572,0.6751,0.0570,combined_medium,0.0570,-0.0279
RASMD,stratified (own),nano,random_swir_aug,robust_best,test,0.6915,0.0000,0.4310,0.2182,0.6871,0.2166,pgd20,0.0000,-0.0161
RASMD,stratified (own),nano,snua_at,robust_best,test,0.7085,0.0000,0.6799,0.6444,0.6973,0.6357,pgd20,0.0000,+0.0009
RASMD,stratified (own),nano,mixed_swir_at,robust_best,test,0.6869,0.0000,0.6575,0.6307,0.6845,0.6258,pgd20,0.0000,-0.0207
RASMD,stratified (own),small,standard,best,val,0.7803,,,,,,,,+0.0000
RASMD,stratified (own),small,standard,best,test,0.7385,0.0000,0.0935,0.0081,0.7342,0.0082,pgd20,0.0000,+0.0000
RASMD,stratified (own),small,standard,last,val,0.7306,,,,,,,,-0.0497
RASMD,stratified (own),small,standard,last,test,0.7543,0.0000,0.1102,0.0219,0.7532,0.0213,pgd20,0.0000,+0.0158
RASMD,stratified (own),small,adversarial,best,val,0.7330,,,,,,,,-0.0473
RASMD,stratified (own),small,adversarial,best,test,0.7045,0.1112,,,,,pgd20,0.1112,-0.0340
RASMD,stratified (own),small,adversarial,last,val,0.6860,,,,,,,,-0.0943
RASMD,stratified (own),small,adversarial,last,test,0.7252,0.1423,,,,,pgd20,0.1423,-0.0133
RASMD,stratified (own),small,pgd_at,best,test,0.7045,0.1154,0.2360,0.1342,0.7050,0.1328,pgd20,0.1154,-0.0340
RASMD,stratified (own),small,pgd_at,last,test,0.7252,0.1419,0.2407,0.1465,0.7230,0.1446,pgd20,0.1419,-0.0133
RASMD,stratified (own),small,random_swir_aug,robust_best,test,0.7716,0.0000,0.5596,0.3733,0.7630,0.3659,pgd20,0.0000,+0.0331
RASMD,stratified (own),small,snua_at,robust_best,test,0.7573,0.0000,0.7412,0.7262,0.7528,0.7224,pgd20,0.0000,+0.0188
RASMD,stratified (own),small,mixed_swir_at,robust_best,test,0.7624,0.0000,0.7412,0.7157,0.7609,0.7122,pgd20,0.0000,+0.0239
