attack,severity,seed,precision,recall,mAP50,mAP50-95
clean,,,0.7538404723602956,0.6255541552414502,0.6940929148305854,0.3780043298174259
random_radiometric,weak,0,0.7581842618647503,0.6280487804878049,0.698019029477247,0.3775813699579858
random_radiometric,weak,1,0.7591090981179299,0.6310975609756098,0.6976214873110005,0.3799323603454582
random_radiometric,weak,2,0.7549140547938414,0.6341463414634146,0.6967014711415214,0.37625115516282787
aria,weak,0,0.7524473060039856,0.6341463414634146,0.6960233498932507,0.37458012749530645
aria,weak,1,0.7559867812663355,0.6280487804878049,0.6944616198305696,0.37779011169024634
aria,weak,2,0.7474775390602366,0.6341463414634146,0.6949713738478026,0.3742749162030284
random_radiometric,medium,0,0.7588896770763291,0.6333363647756639,0.6997099603388877,0.37548730232853905
random_radiometric,medium,1,0.7593617214981281,0.6341463414634146,0.7026365659874241,0.37938460140487873
random_radiometric,medium,2,0.7581797564214681,0.6310975609756098,0.6957883721886603,0.3739041904446593
aria,medium,0,0.7649633453584557,0.6158536585365854,0.6936850183087004,0.36843738950060356
aria,medium,1,0.7414231375530346,0.6294148625884345,0.6891715698304892,0.3704102007389959
aria,medium,2,0.737654405476961,0.6280487804878049,0.6870386276102649,0.3652720022804337
