attack,severity,seed,precision,recall,mAP50,mAP50-95
clean,,,0.7538404723602956,0.6255541552414502,0.6940929148305854,0.3780043298174259
random_fpn,weak,0,0.7308066010070192,0.6219512195121951,0.6969965643958707,0.3652509461172684
random_fpn,weak,1,0.6952929215978004,0.6280487804878049,0.6905567018543886,0.36811327752130096
random_fpn,weak,2,0.7611567072215271,0.6128048780487805,0.6987078790912596,0.36481930925662776
snua_go,weak,0,0.6544231350617036,0.3567073170731707,0.3457862240469678,0.1452169737332613
snua_go,weak,1,0.6598372110048218,0.3567073170731707,0.34139105838066364,0.14693248091624617
snua_go,weak,2,0.6587657917214393,0.35903616832409546,0.3385531739914499,0.14207116154593744
random_fpn,medium,0,0.643718546187897,0.5701219512195121,0.638684667652047,0.3072805031626956
random_fpn,medium,1,0.6875799040035836,0.551829268292683,0.6354128485993779,0.31068777139354464
random_fpn,medium,2,0.6673775837722132,0.5792682926829268,0.6396853316936317,0.30956796399977204
snua_go,medium,0,0.5626190559471668,0.27439024390243905,0.22729574230842428,0.06840370144586388
snua_go,medium,1,0.5614844697031713,0.27134146341463417,0.25097057475873813,0.07457888901676306
snua_go,medium,2,0.5561128439822148,0.2804878048780488,0.24425697618966002,0.0703335328887709
